ID,Property Information copy,Tenant Orders,Images,Property Type,Marketing Type,Status,Availability,Community,Neighborhood,Company,Location,HOA,HOA Application Cost/Person, Annual Rent , Seasonal Jan - Mar , Off Seasonal April - Dec , Standard Seasonal weekly  , Standard Seasonal daily , Off Seasonal weekly , Off Seasonal daily,Guest List
636,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
637,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
638,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
639,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
640,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
641,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
642,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
643,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
644,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
645,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
646,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
647,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
648,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
649,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
650,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
651,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
652,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
653,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
654,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
655,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
656,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
657,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
658,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
659,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
660,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
661,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
662,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
663,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
664,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
665,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
666,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
667,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
668,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
669,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
670,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
671,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
672,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
673,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
674,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
675,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
676,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
677,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
678,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
679,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
680,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
681,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
682,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
683,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
684,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
685,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
686,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
687,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
688,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
689,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
690,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
691,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
692,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
693,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
694,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
695,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
696,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
697,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
698,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
699,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
700,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
701,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
702,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
703,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
704,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
705,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
706,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
707,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
708,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
709,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
710,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
711,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
712,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
713,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
714,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
715,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
716,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
717,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
718,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
719,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
720,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
721,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
722,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
723,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
724,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
725,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
726,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
727,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
728,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
729,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
730,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
731,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
732,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
733,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
734,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
735,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
736,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
737,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
738,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
739,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
740,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
741,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
742,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
743,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
744,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
745,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
746,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
747,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
748,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
749,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
750,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
751,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
752,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
753,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
754,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
755,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
756,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
757,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
758,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
759,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
760,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
761,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
762,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
763,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
764,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
765,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
766,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
767,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
768,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
769,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
770,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
771,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
772,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
773,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
774,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
775,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
776,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
777,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
778,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
779,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
780,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
781,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
782,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
783,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
784,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
785,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
786,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
787,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
788,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
789,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
790,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
791,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
792,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
793,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
794,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
795,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
796,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
797,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
798,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
799,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
800,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
801,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
802,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
803,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
804,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
805,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
806,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
807,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
808,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
809,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
810,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
811,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
812,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
813,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
814,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
815,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
816,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
817,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
818,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
819,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
820,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
821,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
822,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
823,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
824,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
825,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
826,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
827,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
828,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
829,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
830,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
831,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
832,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
833,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
834,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
835,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
836,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
837,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
838,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
839,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
840,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
841,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
842,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
843,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
844,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
845,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
846,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
847,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
848,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
849,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
850,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
851,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
852,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
853,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
854,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
855,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
856,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
857,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
858,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
859,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
860,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
861,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
862,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
863,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
864,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
865,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
866,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
867,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
868,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
869,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
870,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
871,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
872,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
873,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
874,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
875,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
876,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
877,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
878,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
879,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
880,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
881,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
882,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
883,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
884,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
885,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
886,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
887,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
888,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
889,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
890,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
891,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
892,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
893,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
894,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
895,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
896,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
897,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
898,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
899,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
900,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
901,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
902,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
903,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
904,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
905,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
906,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
907,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
908,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
909,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
910,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
911,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
912,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
913,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
914,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
915,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
916,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
917,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
918,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
919,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
920,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
921,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
922,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
923,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
924,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
925,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
926,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
927,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
928,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
929,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
930,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
931,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
932,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
933,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
934,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
935,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
936,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
937,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
938,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
939,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
940,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
941,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
942,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
943,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
944,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
945,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
946,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
947,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
948,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
949,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
950,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
951,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
952,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
953,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
954,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
955,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
956,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
957,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
958,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
959,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
960,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
961,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
962,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
963,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
964,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
965,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
966,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
967,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
968,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
969,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
970,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
971,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
972,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
973,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
974,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
975,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
976,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
977,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
978,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
979,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
980,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
981,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
